Testing net 'mnist_relu_4_1024' for epsilon 0.001
Testing image 0 ... verified in 201s
Testing image 1 ... FAILED in 214s
Testing image 2 ... FAILED in 232s
Testing image 3 ... verified in 208s
Testing image 4 ... FAILED in 221s
Testing image 5 ... verified in 199s
Testing image 6 ... FAILED in 215s
Testing image 7 ... FAILED in 209s
Testing image 8 ... FAILED in 246s
Testing image 9 ... FAILED in 198s
Testing image 10 ... verified in 209s
Testing image 11 ... FAILED in 230s
Testing image 12 ... FAILED in 205s
Testing image 13 ... verified in 203s
Testing image 14 ... verified in 192s
Testing image 15 ... FAILED in 228s
Testing image 16 ... FAILED in 212s
Testing image 17 ... verified in 203s
Testing image 18 ... FAILED in 212s
Testing image 19 ... FAILED in 209s
Testing image 20 ... FAILED in 17s
Testing image 21 ... FAILED in 204s
Testing image 22 ... verified in 223s
Testing image 23 ... verified in 200s
Testing image 24 ... FAILED in 244s
Testing image 25 ... verified in 192s
Testing image 26 ... FAILED in 215s
Testing image 27 ... FAILED in 203s
Testing image 28 ... verified in 199s
Testing image 29 ... verified in 206s
Testing image 30 ... verified in 178s
Testing image 31 ... verified in 218s
Testing image 32 ... verified in 192s
Testing image 33 ... FAILED in 217s
Testing image 34 ... verified in 196s
Testing image 35 ... FAILED in 218s
Testing image 36 ... verified in 195s
Testing image 37 ... verified in 202s
Testing image 38 ... FAILED in 221s
Testing image 39 ... verified in 209s
Testing image 40 ... FAILED in 235s
Testing image 41 ... FAILED in 199s
Testing image 42 ... FAILED in 196s
Testing image 43 ... FAILED in 228s
Testing image 44 ... verified in 207s
Testing image 45 ... FAILED in 230s
Testing image 46 ... verified in 188s
Testing image 47 ... FAILED in 245s
Testing image 48 ... FAILED in 199s
Testing image 49 ... FAILED in 18s
Testing image 50 ... FAILED in 227s
Testing image 51 ... verified in 205s
Testing image 52 ... FAILED in 226s
Testing image 53 ... FAILED in 249s
Testing image 54 ... FAILED in 237s
Testing image 55 ... verified in 205s
Testing image 56 ... FAILED in 211s
Testing image 57 ... FAILED in 225s
Testing image 58 ... verified in 203s
Testing image 59 ... FAILED in 233s
Testing image 60 ... verified in 177s
Testing image 61 ... FAILED in 222s
Testing image 62 ... FAILED in 243s
Testing image 63 ... verified in 224s
Testing image 64 ... verified in 184s
Testing image 65 ... FAILED in 222s
Testing image 66 ... FAILED in 245s
Testing image 67 ... FAILED in 226s
Testing image 68 ... verified in 184s
Testing image 69 ... verified in 200s
Testing image 70 ... verified in 184s
Testing image 71 ... verified in 180s
Testing image 72 ... FAILED in 205s
Testing image 73 ... FAILED in 194s
Testing image 74 ... verified in 212s
Testing image 75 ... verified in 169s
Testing image 76 ... verified in 183s
Testing image 77 ... FAILED in 236s
Testing image 78 ... FAILED in 255s
Testing image 79 ... verified in 182s
Testing image 80 ... verified in 204s
Testing image 81 ... FAILED in 239s
Testing image 82 ... verified in 205s
Testing image 83 ... verified in 206s
Testing image 84 ... FAILED in 227s
Testing image 85 ... FAILED in 218s
Testing image 86 ... verified in 183s
Testing image 87 ... verified in 195s
Testing image 88 ... verified in 221s
Testing image 89 ... verified in 210s
Testing image 90 ... verified in 177s
Testing image 91 ... verified in 212s
Testing image 92 ... FAILED in 232s
Testing image 93 ... verified in 178s
Testing image 94 ... verified in 169s
Testing image 95 ... FAILED in 210s
Testing image 96 ... FAILED in 207s
Testing image 97 ... verified in 168s
Testing image 98 ... FAILED in 239s
Testing image 99 ... verified in 194s
Total tests:  100
Passed tests: 48
Percentage:   48.00%
Total time:   20582s
Time/test:    205.82s
