Testing net 'mnist_relu_6_200' for epsilon 0.1
Testing image 0 ... FAILED in 1318s
Testing image 1 ... FAILED in 1179s
Testing image 2 ... FAILED in 1518s
Testing image 3 ... FAILED in 1033s
Testing image 4 ... FAILED in 1287s
Testing image 5 ... FAILED in 1409s
Testing image 6 ... FAILED in 1220s
Testing image 7 ... FAILED in 1210s
Testing image 8 ... FAILED in 1194s
Testing image 9 ... FAILED in 1083s
Testing image 10 ... FAILED in 1183s
Testing image 11 ... FAILED in 1254s
Testing image 12 ... FAILED in 1141s
Testing image 13 ... FAILED in 1083s
Testing image 14 ... FAILED in 1290s
Testing image 15 ... FAILED in 1301s
Testing image 16 ... FAILED in 1193s
Testing image 17 ... FAILED in 1257s
Testing image 18 ... FAILED in 1182s
Testing image 19 ... FAILED in 1280s
Testing image 20 ... FAILED in 1308s
Testing image 21 ... FAILED in 1217s
Testing image 22 ... FAILED in 1262s
Testing image 23 ... FAILED in 1194s
Testing image 24 ... FAILED in 1393s
Testing image 25 ... FAILED in 925s
Testing image 26 ... FAILED in 1413s
Testing image 27 ... FAILED in 1270s
Testing image 28 ... FAILED in 1031s
Testing image 29 ... FAILED in 1293s
Testing image 30 ... FAILED in 1173s
Testing image 31 ... FAILED in 1443s
Testing image 32 ... FAILED in 1179s
Testing image 33 ... FAILED in 1256s
Testing image 34 ... FAILED in 1214s
Testing image 35 ... FAILED in 1160s
Testing image 36 ... FAILED in 1209s
