riai2018@riai2018-VirtualBox:~/analyzer$ ./test.sh mnist_relu_6_50 0.01
Testing net 'mnist_relu_6_50' for epsilon 0.01
Testing image 0 ... verified in 3s
Testing image 1 ... verified in 2s
Testing image 2 ... verified in 3s
Testing image 3 ... verified in 3s
Testing image 4 ... verified in 3s
Testing image 5 ... verified in 3s
Testing image 6 ... verified in 4s
Testing image 7 ... verified in 3s
Testing image 8 ... FAILED in 0s
Testing image 9 ... verified in 3s
Testing image 10 ... verified in 3s
Testing image 11 ... verified in 3s
Testing image 12 ... verified in 3s
Testing image 13 ... verified in 3s
Testing image 14 ... verified in 3s
Testing image 15 ... FAILED in 3s
Testing image 16 ... verified in 3s
Testing image 17 ... verified in 2s
Testing image 18 ... verified in 3s
Testing image 19 ... verified in 2s
Testing image 20 ... verified in 2s
Testing image 21 ... verified in 3s
Testing image 22 ... verified in 2s
Testing image 23 ... verified in 3s
Testing image 24 ... verified in 3s
Testing image 25 ... verified in 2s
Testing image 26 ... verified in 2s
Testing image 27 ... verified in 3s
Testing image 28 ... verified in 2s
Testing image 29 ... verified in 3s
Testing image 30 ... verified in 3s
Testing image 31 ... verified in 3s
Testing image 32 ... verified in 2s
Testing image 33 ... FAILED in 0s
Testing image 34 ... verified in 3s
Testing image 35 ... verified in 2s
Testing image 36 ... verified in 3s
Testing image 37 ... verified in 3s
Testing image 38 ... FAILED in 2s
Testing image 39 ... verified in 3s
Testing image 40 ... verified in 3s
Testing image 41 ... verified in 3s
Testing image 42 ... verified in 3s
Testing image 43 ... verified in 2s
Testing image 44 ... verified in 3s
Testing image 45 ... verified in 3s
Testing image 46 ... verified in 2s
Testing image 47 ... verified in 3s
Testing image 48 ... verified in 2s
Testing image 49 ... verified in 3s
Testing image 50 ... verified in 2s
Testing image 51 ... verified in 3s
Testing image 52 ... verified in 2s
Testing image 53 ... verified in 3s
Testing image 54 ... verified in 2s
Testing image 55 ... verified in 3s
Testing image 56 ... verified in 2s
Testing image 57 ... verified in 3s
Testing image 58 ... verified in 3s
Testing image 59 ... verified in 2s
Testing image 60 ... verified in 3s
Testing image 61 ... FAILED in 0s
Testing image 62 ... FAILED in 1s
Testing image 63 ... FAILED in 2s
Testing image 64 ... verified in 3s
Testing image 65 ... verified in 2s
Testing image 66 ... verified in 3s
Testing image 67 ... verified in 2s
Testing image 68 ... verified in 2s
Testing image 69 ... verified in 3s
Testing image 70 ... verified in 2s
Testing image 71 ... verified in 3s
Testing image 72 ... verified in 2s
Testing image 73 ... verified in 3s
Testing image 74 ... verified in 2s
Testing image 75 ... FAILED in 3s
Testing image 76 ... verified in 2s
Testing image 77 ... verified in 3s
Testing image 78 ... verified in 2s
Testing image 79 ... verified in 3s
Testing image 80 ... verified in 2s
Testing image 81 ... verified in 3s
Testing image 82 ... verified in 2s
Testing image 83 ... verified in 3s
Testing image 84 ... verified in 2s
Testing image 85 ... verified in 2s
Testing image 86 ... verified in 3s
Testing image 87 ... verified in 2s
Testing image 88 ... verified in 3s
Testing image 89 ... verified in 2s
Testing image 90 ... verified in 3s
Testing image 91 ... verified in 2s
Testing image 92 ... FAILED in 1s
Testing image 93 ... verified in 3s
Testing image 94 ... verified in 2s
Testing image 95 ... verified in 2s
Testing image 96 ... verified in 3s
Testing image 97 ... verified in 3s
Testing image 98 ... verified in 2s
Testing image 99 ... verified in 3s
Total tests:  100
Passed tests: 91
Percentage:   91.00%
Total time:   250s
Time/test:    2.50s
